scenario,sku_store_rows,total_baseline_unmet_units,total_proposed_unmet_units,lost_sales_avoided_units,lost_sales_avoided_value,stockout_days_reduced_proxy,inventory_value_change,holding_cost_change,avg_baseline_fill_rate,avg_proposed_fill_rate,avg_fill_rate_improvement
Base Case,1620,311466.14358998905,137251.07618640902,174215.06740358003,47355092.36940367,32425.0,3558014.130195802,71160.28260391604,0.0007321231802970425,0.6757966811345425,0.6750645579542455
Best Case,1620,295884.68641048955,121374.1470896723,174510.53932081728,47438027.199478984,33881.0,4332057.742817711,86641.15485635422,0.0007706559792600449,0.7052926316888016,0.7045219757095417
Worst Case,1620,342629.057948988,171392.09272629858,171236.9652226894,46511093.48208555,29409.0,2487116.823007476,49742.33646014953,0.0006655665275427659,0.6161252201330059,0.6154596536054632
