category,lost_sales_avoided_units,lost_sales_avoided_value,stockout_days_reduced_proxy,inventory_value_change,holding_cost_change
Beverages,50569.54260196465,13477533.266625596,8939.0,1310911.2233183603,26218.224466367206
Snacks,47257.716117467215,12831539.75496176,7116.0,1413394.4053787368,28267.888107574738
Grocery,33315.081684179946,7841163.928373336,3350.0,121912.48273036307,2438.2496546072616
Personalcare,14421.385632666565,4827678.864431669,5229.0,375278.46719952574,7505.569343990514
Dairy,14933.385264625773,4393501.994087188,2219.0,58197.921997193305,1163.9584399438663
Homecare,13717.956102675878,3983674.5609241193,5572.0,278319.62957162276,5566.392591432455
