category,baseline_mape,baseline_wape,regression_mape,regression_wape,better_model_by_wape
Beverages,1.3282523203298755,0.7961250100827917,0.8103270631223936,0.5749476061449237,regression
Dairy,1.2017940755062342,0.7401228520799202,0.7149135723415809,0.5431588698815462,regression
Grocery,1.2096468675975691,0.7423140477305159,0.7489420971348717,0.5416376487210008,regression
Homecare,1.1921582430655047,0.9128755233562893,0.7081845721367942,0.668452150216036,regression
Personalcare,1.2046345931147584,0.8839219888688626,0.7531825978542287,0.6575404391973422,regression
Snacks,1.2438565731263285,0.7423551553728475,0.8025234658292453,0.559605312269014,regression
