category,sku_store_count,reorder_rows,total_recommended_units,total_recommended_cost_value,avg_safety_stock,avg_reorder_point
Beverages,360,359,57860.0,10607125.8,21.855754308218756,75.02475097488542
Snacks,270,270,55429.0,10552631.27,22.43477138839915,81.26592657358434
Grocery,288,288,34022.0,5083736.63,36.86266259163419,132.02201224441197
Personalcare,234,234,16159.0,3535584.46,13.012640025071361,40.73136139259273
Dairy,216,216,15153.0,3399001.6,32.361533427524726,103.5084612053025
Homecare,252,252,15253.0,2980835.93,11.644503974048801,35.85258829944562
